,Date,Signal,Open,High,Low,Close,Adj Close
229,2016-10-25,12.8847884544,121.809998,121.989998,120.599998,120.93,114.59523
230,2016-10-26,12.801345342,120.110001,121.0,119.459999,119.730003,113.458076
231,2016-10-27,13.5764229312,120.120003,120.139999,118.089996,118.360001,112.159843
232,2016-10-28,13.797823788,118.309998,119.029999,117.75,118.029999,111.847122
233,2016-10-31,12.42324633,118.18,118.639999,117.800003,118.5,112.292503
234,2016-11-01,12.503186094,118.660004,118.699997,116.279999,117.050003,110.918488
235,2016-11-02,13.3482312612,116.870003,117.0,115.389999,115.559998,109.506538
236,2016-11-03,13.1127639204,115.910004,116.239998,114.879997,115.0,108.975845
237,2016-11-04,13.516470432,115.300003,116.900002,115.050003,115.739998,109.677071
238,2016-11-07,14.2989563856,118.0,118.82,117.709999,118.57,112.358849
239,2016-11-08,14.3377810884,118.300003,119.459999,117.709999,118.879997,112.652611
240,2016-11-09,14.2455672072,118.080002,122.830002,118.050003,122.540001,116.12088
241,2016-11-10,15.468222672,124.260002,125.400002,122.620003,124.5,117.978188
242,2016-11-11,14.8778067372,125.029999,127.720001,124.550003,127.360001,120.688393
243,2016-11-14,15.1132632552,128.949997,130.259995,128.389999,129.149994,122.384598
244,2016-11-15,14.2995734784,128.850006,129.889999,128.300003,129.550003,122.763672
245,2016-11-16,15.1144016208,129.25,130.0,129.029999,129.539993,122.754181
246,2016-11-17,14.648176998,129.949997,130.830002,129.75,130.300003,123.474373
247,2016-11-18,15.955372944,130.690002,131.089996,130.300003,130.990005,124.128242
248,2016-11-21,14.9407169688,131.309998,132.0,130.610001,131.600006,124.706284
249,2016-11-22,15.4991987328,132.119995,132.899994,131.669998,132.800003,125.843445
250,2016-11-23,14.4382113792,132.479996,133.649994,132.100006,133.630005,126.629944
251,2016-11-25,14.6665724352,133.729996,134.100006,133.539993,134.070007,127.046913
252,2016-11-28,15.0420450996,133.970001,134.0,132.149994,132.330002,125.398048
253,2016-11-29,15.3317071368,132.509995,133.089996,132.100006,132.259995,125.331696
254,2016-11-30,20.7386498592,132.919998,133.089996,131.5,131.610001,124.715752
255,2016-12-01,15.30475896,132.25,132.550003,130.289993,130.970001,124.109283
256,2016-12-02,14.9901125904,130.940002,131.470001,130.520004,130.899994,124.042938
257,2016-12-05,16.0110110736,131.970001,133.330002,131.889999,133.149994,166.175079
258,2016-12-06,15.8850506088,133.520004,134.910004,132.740005,134.589996,127.539658
259,2016-12-07,15.4061353512,134.589996,136.179993,134.179993,135.899994,128.781036
260,2016-12-08,15.8741478,136.25,138.210007,135.800003,138.039993,130.808914
261,2016-12-09,15.6758081472,138.399994,138.820007,137.75,138.309998,131.064774
262,2016-12-12,16.102618272,137.949997,138.570007,136.509995,136.850006,129.681274
263,2016-12-13,14.682118368,137.529999,138.050003,136.240005,136.860001,129.69075
264,2016-12-14,14.933821248,136.419998,137.350006,134.809998,135.149994,128.070328
265,2016-12-15,14.903574426,135.369995,137.139999,134.960007,136.160004,129.02739
